cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1001736,Ca1.2Nd2.8Mn4O12,62,"{0: {'b': {'Mn3.3+': 1}}, 1: {'c': {'Ca2+': 0.3, 'Nd3+': 0.7}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,4.0,20.0,7
1001775,TaSnO3,221,"{0: {'a': {'Sn2+': 1}}, 1: {'b': {'Ta4+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1001820,La3.65Mn4O12,15,"{0: {'c': {'Mn3.262+': 1}}, 1: {'e': {'La3+': 0.912}}, 2: {'e': {'O2-': 1}}, 3: {'f': {'O2-': 1}}}",4,3.0,19.648,7
1001823,La2MgPtO6,14,"{0: {'b': {'Mg2+': 0.998, 'Pt4+': 0.003}}, 1: {'c': {'Mg2+': 0.003, 'Pt4+': 0.998}}, 2: {'e': {'La3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,4.0,20.004,7
1001824,La2NiPtO6,14,"{0: {'b': {'Ni2+': 0.983, 'Pt4+': 0.017}}, 1: {'c': {'Ni2+': 0.017, 'Pt4+': 0.983}}, 2: {'e': {'La3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,4.0,20.0,7
1001825,La2ZnPtO6,14,"{0: {'b': {'Pt4+': 0.001, 'Zn2+': 0.999}}, 1: {'c': {'Pt4+': 0.999, 'Zn2+': 0.001}}, 2: {'e': {'La3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,4.0,20.0,7
1001826,La2CoPtO6,14,"{0: {'b': {'Pt4+': 0.086, 'Co2+': 0.914}}, 1: {'c': {'Pt4+': 0.914, 'Co2+': 0.086}}, 2: {'e': {'La3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,4.0,20.0,7
1001827,Pr2CoPtO6,14,"{0: {'b': {'Pt4+': 0.05, 'Co2+': 0.95}}, 1: {'c': {'Pt4+': 0.95, 'Co2+': 0.05}}, 2: {'e': {'Pr3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,4.0,20.0,7
1001828,Nd2CoPtO6,14,"{0: {'b': {'Pt4+': 0.04, 'Co2+': 0.96}}, 1: {'c': {'Pt4+': 0.96, 'Co2+': 0.04}}, 2: {'e': {'Nd3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,4.0,20.0,7
1004099,K0.13Ba0.87Bi1O3,221,"{0: {'a': {'Bi5+': 0.565, 'Bi3+': 0.435}}, 1: {'b': {'K+': 0.13, 'Ba2+': 0.87}}, 2: {'d': {'O2-': 1}}}",3,4.0,5.0,7
1005008,Ca3AsN,62,"{0: {'b': {'N3-': 1}}, 1: {'c': {'Ca2+': 1}}, 2: {'c': {'As3-': 1}}, 3: {'d': {'Ca2+': 1}}}",4,3.0,20.0,7
1006128,Sr0.5La3.5Mn4O12,62,"{0: {'b': {'Mn3.125+': 1}}, 1: {'c': {'La3+': 0.875, 'Sr2+': 0.125}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,4.0,20.0,7
1006141,LaMnO3,62,"{0: {'b': {'Mn3+': 1}}, 1: {'c': {'La3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,7
1008091,TbFeO3,62,"{0: {'b': {'Fe3+': 1}}, 1: {'c': {'Tb3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,7
1008110,Mn3GaC,221,"{0: {'a': {'Ga0+': 1}}, 1: {'b': {'C0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1008154,DyCrO3,62,"{0: {'b': {'Cr3+': 1}}, 1: {'c': {'Dy3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,7
1008159,ErCrO3,62,"{0: {'b': {'Cr3+': 1}}, 1: {'c': {'Er3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,7
1008180,CaTi4(CuO4)3,204,"{0: {'a': {'Ca2+': 1}}, 1: {'b': {'Cu2+': 1}}, 2: {'c': {'Ti4+': 1}}, 3: {'g': {'O2-': 1}}}",4,4.0,40.0,7
1008181,Tb1.42Ti8Cu6O24,204,"{0: {'a': {'Tb3+': 0.71}}, 1: {'b': {'Cu2+': 1}}, 2: {'c': {'Ti4+': 1}}, 3: {'g': {'O2-': 1}}}",4,4.0,39.42,7
1008192,ThMn4(CuO4)3,204,"{0: {'a': {'Th4+': 1}}, 1: {'b': {'Cu2+': 1}}, 2: {'c': {'Mn3.5+': 1}}, 3: {'g': {'O2-': 1}}}",4,4.0,40.0,7
1008219,YMn4(CuO4)3,204,"{0: {'a': {'Y3+': 1}}, 1: {'b': {'Cu2+': 1}}, 2: {'c': {'Mn3.75+': 1}}, 3: {'g': {'O2-': 1}}}",4,4.0,40.0,7
1008633,NdCu3(RuO3)4,204,"{0: {'a': {'Nd3+': 1}}, 1: {'b': {'Cu1.67+': 1}}, 2: {'c': {'Ru4+': 1}}, 3: {'g': {'O2-': 1}}}",4,4.0,40.0,7
